,MDA_rank,MDI_rank,SFI_rank,CFI_rank,mean_rank
AMGN_open,7,34,217,17,68.75
AMGN_KAMA_10_2_30,3,138,182,37,90.0
ADBE_open,15,4,72,285,94.0
ISRG_open,35,31,240,509,203.75
QCOM_open,176,129,378,163,211.5
PYPL_EOM_28_100000000,79,102,644,118,235.75
PYPL_open,429,45,295,174,235.75
QQQ_SMA_100,588,29,65,283,241.25
GOOGL_open,31,8,54,927,255.0
TXN_open,17,16,268,767,267.0
ADBE_low,32,112,60,894,274.5
AMGN_PSARl_0.02_0.2,202,657,241,44,286.0
ADBE_EOM_28_100000000,115,139,663,229,286.5
ADBE_high,568,171,124,284,286.75
NFLX_high,53,505,509,82,287.25
ADBE_ITS_18,44,712,81,319,289.0
AAPL_open,4,3,51,1139,299.25
QQQ_VWAP_D,1,1,1,1207,302.5
QCOM_low,221,431,398,161,302.75
PYPL_OBV,622,144,326,123,303.75
QQQ_LDECAY_10,40,55,2,1144,310.25
ADBE_HMA_50,600,202,127,333,315.5
AMGN_VWAP_D,80,796,204,186,316.5
QCOM_close,77,649,385,160,317.75
MSFT_open,16,2,9,1296,330.75
QQQ_ITS_18,2,135,6,1184,331.75
AMGN_volume,86,88,1148,13,333.75
NFLX_OBV,320,173,755,89,334.25
ADBE_close,590,407,67,307,342.75
NFLX_ATRr_14,69,523,684,97,343.25
INTC_close,83,437,478,427,356.25
AMGN_EOM_28_100000000,185,232,830,185,358.0
CMCSA_OBV,166,248,722,301,359.25
PYPL_ATRr_14,406,265,648,131,362.5
ADBE_VWAP_D,537,600,84,230,362.75
INTC_ICS_52,189,314,627,338,367.0
PYPL_KCLe_40_3.0,670,373,315,130,372.0
PYPL_KAMA_10_2_30,677,409,276,138,375.0
NFLX_low,707,214,506,81,377.0
GOOG_low,260,258,28,980,381.5
AAPL_high,137,210,46,1138,382.75
QCOM_DMP_28,123,351,909,149,383.0
NFLX_ICS_52,326,520,636,59,385.25
PYPL_high,553,540,280,173,386.5
PYPL_ICS_52,435,498,413,206,388.0
PYPL_low,551,531,300,172,388.5
NFLX_WILLR_14,124,92,1246,106,392.0
TXN_high,19,535,265,766,396.25
ISRG_ATRr_14,231,167,724,466,397.0
CSCO_MACDs_24_52_18,13,485,849,262,402.25
ISRG_volume,139,66,878,530,403.25
AMGN_OBV,489,401,534,190,403.5
PYPL_MOM_50,350,230,850,199,407.25
AMZN_open,18,15,324,1273,407.5
NFLX_BBL_40_2.0,828,272,442,101,410.75
AMGN_ITS_18,792,656,151,51,412.5
PYPL_SQZ_20_2.0_20_1.5,239,447,854,116,414.0
PYPL_UO_7_14_28,110,38,1375,141,416.0
QQQ_volume,62,9,1598,1,417.5
NFLX_PSARl_0.02_0.2,408,677,477,110,418.0
NVDA_open,72,10,576,1028,421.5
INTC_MOM_50,403,166,783,343,423.75
PYPL_VWAP_D,617,674,286,119,424.0
SBUX_open,8,206,699,783,424.0
AMZN_LDECAY_10,102,266,333,999,425.0
ISRG_low,177,771,252,507,426.75
AMGN_HMA_50,512,958,234,9,428.25
AMZN_low,29,94,319,1283,431.25
CMCSA_KCUe_40_3.0,235,495,697,306,433.25
GOOGL_low,354,413,53,925,436.25
QCOM_KAMA_10_2_30,12,592,403,741,437.0
NFLX_HMA_50,720,500,493,75,447.0
NFLX_UO_7_14_28,158,64,1462,105,447.25
AMZN_PSARl_0.02_0.2,33,483,316,976,452.0
AMGN_KCUe_40_3.0,1297,193,157,169,454.0
PYPL_RVI_14,204,146,1349,124,455.75
TXN_EOM_28_100000000,303,122,693,711,457.25
AMGN_ATRr_14,433,579,714,111,459.25
ISRG_BBL_40_2.0,48,933,387,471,459.75
MSFT_OBV,14,478,111,1244,461.75
PYPL_LDECAY_10,612,803,293,140,462.0
ADBE_KCLe_40_3.0,779,738,100,241,464.5
INTC_high,507,425,498,429,464.75
CSCO_SQZ_20_2.0_20_1.5,200,190,1039,439,467.0
CSCO_MOM_50,50,589,826,411,469.0
INTC_LDECAY_10,360,669,487,368,471.0
QCOM_ITS_18,195,1171,407,113,471.5
ISRG_ITS_18,27,1096,245,543,477.75
MDLZ_LDECAY_10,264,581,553,514,478.0
MDLZ_close,276,304,558,785,480.75
NVDA_OBV,39,341,146,1404,482.5
TXN_ICS_52,506,403,336,687,483.0
ISRG_ICS_52,475,494,432,541,485.5
AMGN_WMA_50,453,1347,141,10,487.75
AMGN_BBL_40_2.0,587,1125,209,35,489.0
QQQ_OBV,43,175,537,1211,491.5
PEP_OBV,70,77,289,1539,493.75
AMGN_MOM_50,209,584,1152,30,493.75
BKNG_volume,59,5,1418,494,494.0
INTC_ENTP_20,183,671,899,224,494.25
ADBE_ADOSC_5_17,296,188,1263,232,494.75
CSCO_close,234,670,807,271,495.5
AMGN_PSARs_0.02_0.2,573,1117,251,42,495.75
BKNG_RSI_28,203,151,1149,481,496.0
ADBE_BBL_40_2.0,353,1107,281,247,497.0
ISRG_OBV,106,1196,236,458,499.0
QCOM_volume,61,103,1678,159,500.25
ADBE_ICS_52,581,874,237,317,502.25
INTC_UO_7_14_28,325,21,1324,340,502.5
ISRG_PSARl_0.02_0.2,206,941,330,536,503.25
MDLZ_ISA_18,60,484,634,836,503.5
ADBE_WILLR_14,118,41,1609,253,505.25
QQQ_IKS_52,640,142,66,1183,507.75
PYPL_PSARl_0.02_0.2,685,800,349,201,508.75
CSCO_EOM_28_100000000,396,429,778,441,511.0
GOOG_KCLe_40_3.0,523,575,35,922,513.75
INTC_EOM_28_100000000,153,626,904,374,514.25
AMGN_close,1677,170,208,2,514.25
GOOGL_high,164,924,49,926,515.75
QCOM_BBP_40_2.0,112,240,979,736,516.75
CMCSA_RVI_14,120,174,1473,302,517.25
MDLZ_RVI_14,295,86,1164,526,517.75
ISRG_EOM_28_100000000,380,525,720,453,519.5
AMGN_WILLR_14,394,207,1446,40,521.75
INTC_DCU_40_40,172,964,571,381,522.0
AMGN_CCI_20_0.015,229,275,1571,15,522.5
AMGN_ISA_18,797,962,282,53,523.5
CSCO_RSI_28,412,292,1140,257,525.25
ISRG_RVI_14,67,155,1425,459,526.5
ISRG_UO_7_14_28,105,48,1477,476,526.5
CMCSA_NVI_255,557,1063,194,294,527.0
QCOM_RVI_14,192,104,1075,742,528.25
INTC_volume,88,74,1528,426,529.0
SBUX_volume,54,24,1180,864,530.5
META_open,26,22,452,1628,532.0
TXN_UO_7_14_28,108,17,1341,677,535.75
NFLX_SQZ_20_2.0_20_1.5,439,642,1037,26,536.0
QCOM_MOM_50,318,310,776,747,537.75
ADBE_STOCHk_28_6_3,259,161,1415,322,539.25
INTC_VWAP_D,400,895,489,375,539.75
INTC_CCI_20_0.015,196,390,1220,358,541.0
AMZN_KCLe_40_3.0,22,883,298,961,541.0
QCOM_high,610,1013,379,162,541.0
AMGN_low,1684,255,212,14,541.25
ADBE_IKS_52,579,1066,202,318,541.25
ADBE_MACD_24_52_18,21,1087,731,331,542.5
QCOM_MACDs_24_52_18,243,1014,764,151,543.0
MDLZ_low,42,762,572,797,543.25
NFLX_VWAP_D,833,791,504,56,546.0
NFLX_FISHERTs_18_1,344,518,1301,23,546.5
GOOG_ITS_18,56,1162,57,916,547.75
ADBE_BBM_40_2.0,687,1045,215,246,548.25
ISRG_ISA_18,376,691,595,533,548.75
AMGN_NVI_255,543,1368,104,184,549.75
TXN_low,148,1017,274,765,551.0
AMGN_SUPERTl_14_4.0,575,1362,221,46,551.0
PEP_open,34,148,515,1509,551.5
AMGN_SUPERT_14_4.0,580,1348,238,48,553.5
GOOG_KCUe_40_3.0,420,793,69,948,557.5
BKNG_EOM_28_100000000,20,241,1308,666,558.75
CMCSA_VTXM_28,178,492,1280,288,559.5
NFLX_ROC_30,169,271,1697,107,561.0
PYPL_DCL_40_40,327,1415,377,126,561.25
PYPL_DMN_28,6,400,1626,215,561.75
QQQ_MACDs_24_52_18,47,340,666,1194,561.75
SBUX_OBV,323,370,689,872,563.5
ADBE_LDECAY_10,832,1061,96,267,564.0
ADBE_CG_10,261,223,1525,248,564.25
TXN_KCUe_40_3.0,199,1073,264,721,564.25
ADBE_VWMA_50,601,1086,242,332,565.25
AMGN_ROC_30,393,226,1604,41,566.0
AMGN_DCM_40_40,567,1365,142,193,566.75
MSFT_EOM_28_100000000,119,276,632,1240,566.75
PEP_close,23,198,521,1532,568.5
INTC_ROC_30,222,722,999,342,571.25
ADBE_CCI_20_0.015,405,162,1395,325,571.75
MDLZ_STOCHk_28_6_3,134,228,1100,826,572.0
ISRG_SMA_100,1127,471,174,518,572.5
QCOM_BBU_40_2.0,389,593,579,738,574.75
TXN_EMA_50,55,1216,271,761,575.75
INTC_BBL_40_2.0,763,655,523,364,576.25
PYPL_BBU_40_2.0,675,1151,353,134,578.25
ADBE_PSARl_0.02_0.2,686,1067,249,312,578.5
QCOM_VWMA_50,641,1116,416,142,578.75
QCOM_PSARs_0.02_0.2,338,149,1087,748,580.5
NVDA_ATRr_14,342,239,702,1041,581.0
AMGN_VWMA_50,803,1352,161,8,581.0
GILD_DMP_28,293,334,1113,585,581.25
GOOGL_LDECAY_10,356,864,47,1061,582.0
